;time;x;y;z;activity
2022;1970-01-01 23:55:32.896866304;6.924828999999999;-5.838487000000001;-4.534399;forward_180
1702;1970-01-01 23:55:26.722850816;-0.693919;0.215354;1.540978;forward_180
2681;1970-01-02 00:01:35.075016704;-15.342779;-7.329216000000001;-13.409378;forward_180
1351;1970-01-02 00:00:07.506337792;-4.007978;-8.781659;-7.843673;forward_180
2864;1970-01-02 00:01:38.606620672;-5.017749;-0.636491;4.393222;forward_180
462;1970-01-01 23:55:02.756597760;4.376472;-6.321837;-9.734002;forward_180
2185;1970-01-01 23:53:25.666848768;-0.421137;-20.255243;1.3351950000000001;forward_180
328;1970-01-02 00:00:49.659092992;5.254639;-6.922436;-11.882757000000002;forward_180
854;1970-01-01 23:59:57.918158848;-8.140383;-1.375873;-5.278567;forward_180
651;1970-01-01 23:55:06.405642240;-9.131011;-14.713467000000001;-13.842479;forward_180
1138;1970-01-01 23:55:15.817660416;10.013963;-9.805786999999999;5.053641000000001;forward_180
1035;1970-01-02 00:00:01.407819776;-2.900101;-4.620541;-5.058427;forward_180
144;1970-01-01 23:54:56.574193664;0.691526;4.039084;-1.584049;forward_180
1119;1970-01-01 23:53:05.047650304;19.915461999999998;-18.137596;-15.570097;forward_180
2954;1970-01-01 23:53:40.531462144;-2.586641;-5.970092;-3.998407;forward_180
224;1970-01-01 23:54:58.168029184;-1.639084;-3.215954;-1.7659029999999998;forward_180
2542;1970-01-01 23:55:42.929641472;5.898308;-6.541976999999999;8.537591;forward_180
1743;1970-01-01 23:55:27.511379968;0.44745799999999997;-9.241081;3.225525;forward_180
2506;1970-01-01 23:55:42.233387008;3.002992;-2.892923;-0.327817;forward_180
1127;1970-01-02 00:01:05.077354496;4.948357;-4.795217;-1.794617;forward_180
1308;1970-01-02 00:00:06.675865600;1.009771;-15.136996;-7.7001029999999995;forward_180
1661;1970-01-01 23:53:15.525021696;10.021141;-12.753745;-8.736196000000001;forward_180
307;1970-01-01 23:54:59.770253312;-14.335401000000001;-9.090333;-1.426122;forward_180
872;1970-01-01 23:55:10.675443712;19.908285;-17.92942;-3.160919;forward_180
1753;1970-01-01 23:53:17.320183808;7.829316;-2.830709;-0.23449699999999998;forward_180
953;1970-01-01 23:59:59.822372864;-13.981263;-19.377077;-6.139983;forward_180
2653;1970-01-02 00:01:34.529757184;-4.173083;-8.015956;-13.366307;forward_180
278;1970-01-01 23:52:48.782139392;8.52802;-8.312666;-4.6468620000000005;forward_180
1103;1970-01-02 00:00:02.716442624;0.318245;-25.682164999999998;-5.704489;forward_180
978;1970-01-02 00:00:00.308912128;2.620141;-5.812166;-4.558326999999999;forward_180
845;1970-01-02 00:00:59.633147904;-8.04467;2.768496;-21.485155;forward_180
1992;1970-01-02 00:00:19.871145984;-24.205793;1.8065810000000002;12.074183;forward_180
1903;1970-01-02 00:00:18.151481344;-24.471397;-8.04467;-29.699715;forward_180
1818;1970-01-01 23:55:28.962609152;6.144769;-7.374680000000001;-4.383651;forward_180
2445;1970-01-02 00:01:30.520002560;-7.135397;-1.249053;-12.375679;forward_180
1545;1970-01-02 00:00:11.247656960;-2.785246;-0.48335;-0.366102;forward_180
2479;1970-01-02 00:01:31.174313984;-12.689138;-7.881958;-15.220745;forward_180
2239;1970-01-02 00:00:24.635875328;-4.831109;-7.135397;4.029513;forward_180
777;1970-01-01 23:55:08.838338560;-0.5718850000000001;3.5964120000000004;3.7830529999999998;forward_180
848;1970-01-02 00:00:59.691868160;-7.334002000000001;1.256232;-9.863214;forward_180
3480;1970-01-01 23:53:50.748786688;-0.177069;-7.537391;-0.801596;forward_180
2040;1970-01-01 23:53:22.873442304;-1.325624;-4.364509;-6.4223360000000005;forward_180
1866;1970-01-02 00:00:17.438449664;-6.580261999999999;-8.477771;-1.8065810000000002;forward_180
1252;1970-01-01 23:55:18.007087104;6.379265;-19.817358;10.427921000000001;forward_180
2107;1970-01-02 00:01:24.002054144;-55.843697;-16.517654;-63.022163;forward_180
2917;1970-01-01 23:53:39.810041856;2.572284;-4.039084;1.5984049999999999;forward_180
3562;1970-01-01 23:53:52.334233600;0.069392;-12.650853;2.277967;forward_180
2533;1970-01-01 23:53:32.386123776;13.246666000000001;-4.139583;5.06082;forward_180
1355;1970-01-01 23:53:09.602664448;1.552942;-6.087341;-7.204789;forward_180
532;1970-01-01 23:55:04.107163648;7.389036;-3.74716;-0.504886;forward_180
135;1970-01-01 23:52:46.005510144;2.926422;-12.672389;20.714666;forward_180
854;1970-01-01 23:52:59.913822208;-1.744368;2.072184;2.823531;forward_180
1823;1970-01-02 00:00:16.607977472;-6.541976999999999;-21.025732;5.812166;forward_180
1389;1970-01-01 23:55:20.649498624;6.506085;-7.9346;-6.628119;forward_180
342;1970-01-01 23:59:48.019601408;-1.17009;-8.719446000000001;-7.264609;forward_180
1633;1970-01-02 00:00:12.942155776;-11.219945;3.081956;-16.029518;forward_180
1357;1970-01-01 23:55:20.028741632;1.3902299999999999;-15.318851;-0.0335;forward_180
