;time;x;y;z;activity
497;1970-01-01 09:53:09.671395328;5.848058999999999;-1.299303;-4.486542;backward_180
600;1970-01-01 09:53:13.372868608;4.350152;-5.9294150000000005;-8.855837;backward_180
852;1970-01-01 04:19:14.739478528;53.37191;-13.136597;-1.6534400000000002;backward_180
459;1970-01-01 09:59:49.206114304;-16.596619;-11.296515;-10.157532000000002;backward_180
342;1970-01-01 04:18:50.735476736;19.3029;-12.698709;0.021535;backward_180
169;1970-01-01 04:18:42.728550400;9.812965;-6.967899000000001;-1.174876;backward_180
342;1970-01-01 09:59:45.118765056;-13.907085;-13.596017999999999;-7.826923;backward_180
527;1970-01-01 09:59:50.516834304;-7.877172;-8.571091000000001;-20.470598000000003;backward_180
583;1970-01-01 09:53:13.043615744;1.7611169999999998;1.292124;0.37328;backward_180
419;1970-01-01 09:51:17.289213952;-2.361716;5.87438;-1.880759;backward_180
47;1970-01-01 04:18:40.669147136;1.438086;-7.6331039999999994;-21.016161;backward_180
108;1970-01-01 04:18:41.842503680;3.684947;-12.942778;-4.878965;backward_180
840;1970-01-01 04:19:14.502500352;8.250452000000001;-4.177868;-7.396215;backward_180
915;1970-01-01 04:19:19.261986816;-2.684747;-10.956735;9.399008;backward_180
732;1970-01-01 04:19:09.847871488;31.968110999999997;-10.164711;-8.003992;backward_180
225;1970-01-01 09:59:40.838477824;-7.745566999999999;-11.004591;-0.37328;backward_180
683;1970-01-01 04:19:08.871647232;-10.329815;-12.239287;-9.298509;backward_180
874;1970-01-01 09:51:32.350959616;2.342573;-2.5028919999999997;3.634698;backward_180
619;1970-01-01 04:18:59.810902016;6.742974;-12.033505;-3.988835;backward_180
140;1970-01-01 09:52:57.736503296;-10.267602;-8.532805;-4.7306099999999995;backward_180
999;1970-01-01 10:00:07.138861056;2.868994;-8.542377;-0.064606;backward_180
787;1970-01-01 10:00:01.124229120;6.2715879999999995;-1.227518;0.011964;backward_180
770;1970-01-01 09:59:58.980939776;-0.7106680000000001;-3.7998019999999997;3.6131620000000004;backward_180
1000;1970-01-01 09:51:56.138954752;25.330420999999998;-7.499105999999999;-5.709275;backward_180
331;1970-01-01 09:53:04.657104896;0.8733799999999999;-10.332208999999999;-5.802594999999999;backward_180
151;1970-01-01 09:52:57.948315648;5.146962;-4.721039;-8.56152;backward_180
813;1970-01-01 04:19:13.981358080;34.016365;-22.755743;-3.29731;backward_180
609;1970-01-01 09:51:23.576475648;-6.704689;-4.175476000000001;-4.041478;backward_180
7;1970-01-01 09:52:55.813414912;-24.203402;-15.213567000000001;-1.57687;backward_180
187;1970-01-01 09:51:09.361979392;9.255438;-4.5631129999999995;-2.213361;backward_180
450;1970-01-01 09:59:49.032050688;-2.1248259999999997;1.0241280000000001;-10.358528999999999;backward_180
97;1970-01-01 04:18:41.767006208;11.928221;-18.005991;-10.114461;backward_180
509;1970-01-01 09:51:19.036141568;14.756537;-11.686544999999999;9.446864;backward_180
679;1970-01-01 09:59:57.169000448;1.552942;-3.0412779999999997;0.251246;backward_180
279;1970-01-01 04:18:46.784442368;64.319069;-16.761723;-6.345766;backward_180
871;1970-01-01 10:00:02.743230464;-12.488141;-13.256236999999999;-11.162517999999999;backward_180
139;1970-01-01 09:59:37.577406464;2.986243;-2.9312080000000003;-7.8963149999999995;backward_180
994;1970-01-01 09:51:56.023611392;21.195623;-20.047068;-12.679567;backward_180
1004;1970-01-01 09:53:26.830292992;19.259829;-7.554141;-10.798809;backward_180
762;1970-01-01 09:51:28.360079360;17.565711999999998;-9.734002;11.196017;backward_180
707;1970-01-01 09:59:57.707968512;-12.768102;-6.0969120000000006;-2.620141;backward_180
870;1970-01-01 04:19:15.077120000;6.750153;-10.657632000000001;-1.28016;backward_180
68;1970-01-01 09:59:36.449138688;4.814359;3.201597;-6.2261239999999995;backward_180
976;1970-01-01 09:51:55.767758848;-10.777273;-5.283352;6.080163;backward_180
154;1970-01-01 09:51:08.726542336;-3.7351959999999997;0.449851;-4.295116;backward_180
149;1970-01-01 09:51:08.630073344;-0.251246;3.974478;-1.3399809999999999;backward_180
878;1970-01-01 09:53:22.378039296;1.646262;-1.7132610000000001;-5.383851;backward_180
554;1970-01-01 09:53:10.776594432;-0.8566309999999999;-5.977271;0.9643079999999999;backward_180
155;1970-01-01 09:52:58.025910272;-8.274381;-9.712467;-12.669996000000001;backward_180
827;1970-01-01 09:51:31.444989952;-10.34178;-13.55534;10.557134;backward_180
351;1970-01-01 09:51:14.145583104;-6.912864999999999;-2.7182459999999997;-2.414358;backward_180
689;1970-01-01 04:19:08.992233472;33.918262;-20.173887;-13.079168;backward_180
76;1970-01-01 09:59:36.539316224;11.140983;-4.2711879999999995;0.624527;backward_180
243;1970-01-01 09:51:10.442012672;-5.304888;-13.808979;14.505291;backward_180
466;1970-01-01 09:59:49.340332032;-5.142176;-8.82473;-0.038285;backward_180
1047;1970-01-01 09:53:27.660765184;3.6203410000000003;-10.997413;-10.564312;backward_180
857;1970-01-01 10:00:02.470600704;-16.122839000000003;-20.831913;-3.07717;backward_180
504;1970-01-01 09:59:50.074335232;-2.222932;-27.137001;5.3742790000000005;backward_180
181;1970-01-01 09:59:38.389004288;-3.5772699999999995;-12.622139;4.398008;backward_180
521;1970-01-01 09:59:50.401490944;-6.541976999999999;-13.904693;-12.086147;backward_180
