;time;x;y;z;activity
894;1970-01-01 01:07:05.969418240;-13.454842000000001;-14.526826000000002;-10.944771000000001;jump_slow
690;1970-01-01 01:07:02.036471808;-5.972486;-7.702496000000001;-6.824330000000001;jump_slow
698;1970-01-01 01:07:02.191595520;-1.584049;-4.89093;-6.419943;jump_slow
237;1970-01-01 01:06:53.298163712;-19.355543;-20.764915;-12.607782;jump_slow
822;1970-01-01 11:39:47.188760576;2.627319;-8.075776;-1.9669;jump_slow
1164;1970-01-01 11:39:53.811566592;3.838088;1.445265;4.778467;jump_slow
212;1970-01-02 00:59:39.300126720;-5.273781;-13.395021;-7.190432;jump_slow
17;1970-01-01 11:39:31.653058560;9.982856;-4.187439;-12.19861;jump_slow
876;1970-01-01 01:07:05.622274048;-16.201801;-14.005191;-6.707082000000001;jump_slow
721;1970-01-01 01:07:02.632554496;-2.679961;-2.7804599999999997;0.775275;jump_slow
1557;1970-01-02 01:00:40.872509440;-0.24406799999999998;1.6677970000000002;-2.0338990000000003;jump_slow
717;1970-01-01 01:07:02.556270592;-1.519442;0.7800600000000001;1.8281169999999998;jump_slow
187;1970-01-01 01:06:52.333408256;-21.908684;-23.614767;-16.311872;jump_slow
695;1970-01-01 01:07:02.130843648;0.612563;-3.7663029999999997;-5.668597;jump_slow
799;1970-01-01 01:07:04.136933376;-7.618747;-10.600204;-13.548162;jump_slow
845;1970-01-01 21:17:15.776262144;6.601798;1.07677;1.938186;jump_slow
758;1970-01-01 01:07:03.345815552;-2.45025;-5.7619169999999995;4.912465;jump_slow
1108;1970-01-01 21:17:20.851369984;-1.392623;-5.41735;0.260818;jump_slow
119;1970-01-01 01:06:51.020722176;-1.5003;-14.203795000000001;-5.690132;jump_slow
539;1970-01-01 01:06:59.122642944;-0.457029;-5.735596;-3.98405;jump_slow
242;1970-01-01 01:06:53.393092608;8.973084;0.153141;-2.036292;jump_slow
16;1970-01-01 11:39:31.632087040;8.700303;-5.175675;-16.644474;jump_slow
539;1970-01-02 01:00:20.999897088;-18.070597;-9.623933000000001;-8.602198;jump_slow
871;1970-01-01 11:39:48.136673280;0.9762719999999999;-13.301701999999999;-6.9344;jump_slow
86;1970-01-01 11:39:32.982652928;3.0484560000000003;1.6893330000000002;-0.205783;jump_slow
1585;1970-01-02 01:00:41.409380352;-3.986443;-5.3862440000000005;-3.18724;jump_slow
61;1970-01-01 21:17:00.634824704;0.236889;-12.643675;1.5290139999999999;jump_slow
881;1970-01-01 21:17:16.472516608;2.785246;-22.676781;-12.284752000000001;jump_slow
681;1970-01-01 01:07:01.860442112;-19.910677;-17.379070000000002;-10.487741;jump_slow
424;1970-01-02 01:00:19.003408384;8.384451;-11.035698;-8.367701;jump_slow
371;1970-01-01 11:39:38.485579776;-0.978664;-0.39960100000000004;-2.5028919999999997;jump_slow
197;1970-01-01 01:06:52.526280704;-3.4672;-10.009177000000001;-5.970092;jump_slow
773;1970-01-01 01:07:03.635353600;-16.031912;-17.204395;-3.146562;jump_slow
190;1970-01-01 11:39:34.991724544;0.224925;-5.079962;-0.358923;jump_slow
1487;1970-01-01 21:17:28.157847552;6.54437;-0.22253299999999998;1.433301;jump_slow
149;1970-01-01 21:17:02.329323520;10.447063;-7.489535000000001;2.17029;jump_slow
1643;1970-01-01 21:17:31.169357824;-9.212367;-9.265009;-4.790431;jump_slow
580;1970-01-01 01:06:59.912155136;-25.335207;-24.540789;-6.262017;jump_slow
1370;1970-01-01 11:39:57.787766784;-6.661617999999999;-9.379864999999999;-3.524628;jump_slow
158;1970-01-01 01:06:51.772649472;-1.311267;-6.080163;-9.334401;jump_slow
625;1970-01-01 11:39:43.388721152;0.928415;-7.094719;3.448057;jump_slow
1969;1970-01-01 21:15:49.465874432;3.37388;-1.646262;-0.734597;jump_slow
834;1970-01-01 01:07:04.812642304;-2.234896;-8.109276;-1.6606189999999998;jump_slow
690;1970-01-02 01:00:23.952687104;-15.711273;-3.878766;-4.462614;jump_slow
917;1970-01-01 11:39:49.025865728;-2.230111;-6.903293;-2.28036;jump_slow
1426;1970-01-01 21:17:26.983442432;-3.1250259999999996;-19.154545000000002;-6.2261239999999995;jump_slow
203;1970-01-01 01:06:52.641165312;1.174876;-7.398608;-6.04427;jump_slow
2101;1970-01-02 01:01:27.848714240;-35.96891;-4.823930000000001;-16.182659;jump_slow
2164;1970-01-02 01:01:29.065062400;-1.294517;-4.424329;-0.260818;jump_slow
360;1970-01-01 11:39:38.271670272;6.175875;-18.379271;-2.266003;jump_slow
2140;1970-01-02 01:01:28.595300352;-9.006584;-6.470192;-12.835101;jump_slow
290;1970-01-01 01:06:54.320099328;4.359723000000001;-5.697311;-2.600998;jump_slow
1565;1970-01-01 11:40:01.550057472;0.433101;4.287938;0.23449699999999998;jump_slow
342;1970-01-02 01:00:17.686396928;-0.284746;0.741775;0.693919;jump_slow
22;1970-01-02 00:59:35.382646784;11.339586;1.07677;0.820738;jump_slow
340;1970-01-01 01:06:55.284133888;-0.095713;-8.609376;-2.957529;jump_slow
551;1970-01-01 11:39:41.958463488;1.849652;-8.743374000000001;1.739582;jump_slow
1544;1970-01-02 01:00:40.620851200;6.95115;-22.734207;-4.8646080000000005;jump_slow
2354;1970-01-01 21:15:56.973678592;-16.103697;-26.608189000000003;-5.678168;jump_slow
477;1970-01-01 01:06:57.926807552;-2.249253;-10.210175;-4.309474;jump_slow
1420;1970-01-02 01:00:38.230097920;-6.723832000000001;-21.705294;-17.70928;jump_slow
1582;1970-01-01 11:40:01.877213184;1.8903299999999998;-12.696317;-5.209175;jump_slow
70;1970-01-01 11:39:32.676468736;3.8093739999999996;-23.686552;-23.217558;jump_slow
1281;1970-01-01 11:39:56.068102144;-4.778467;-9.968499000000001;-2.234896;jump_slow
2765;1970-01-01 21:16:04.900913152;-10.966306;-11.899507;-3.17049;jump_slow
201;1970-01-01 11:39:35.205634048;1.349552;-2.885744;-2.644069;jump_slow
565;1970-01-01 01:06:59.623501824;2.3880369999999997;1.5601200000000002;-0.107677;jump_slow
587;1970-01-01 01:07:00.047618048;10.179068;-5.886343;-5.383851;jump_slow
