time,ac-x,ac-y,ac-z,gyr-x,gyr-y,gyr-z
2020-02-12 13:31:07.579,2.435791,-0.452393,-0.563477,88.500969,-66.345215,-67.565918
2020-02-12 13:31:07.582,2.333984,-0.450928,-0.515381,83.770744,-73.150635,-75.012207
2020-02-12 13:31:07.585,2.189697,-0.447510,-0.476807,73.394775,-70.404053,-74.218750
2020-02-12 13:31:07.587,1.992920,-0.431152,-0.445313,73.822021,-64.819336,-66.802979
2020-02-12 13:31:07.590,1.809814,-0.415283,-0.400879,76.782227,-61.553951,-69.824219
2020-02-12 13:31:07.592,1.672607,-0.408936,-0.340332,82.763664,-58.715816,-84.991447
2020-02-12 13:31:07.595,1.565918,-0.412354,-0.279053,89.935295,-52.276608,-97.290031
2020-02-12 13:31:07.597,1.466553,-0.429199,-0.226807,99.243156,-41.473385,-105.590813
2020-02-12 13:31:07.599,1.363281,-0.453613,-0.190918,108.398430,-29.663084,-112.518303
2020-02-12 13:31:07.602,1.250000,-0.476563,-0.173340,117.034904,-16.876221,-116.119377
2020-02-12 13:31:07.605,1.146484,-0.499756,-0.164551,124.999992,-6.866455,-120.361320
2020-02-12 13:31:07.607,1.052490,-0.526611,-0.159668,130.859375,1.770019,-123.992912
2020-02-12 13:31:07.609,0.958008,-0.547852,-0.167480,136.108398,10.894774,-125.335686
2020-02-12 13:31:07.612,0.863281,-0.563721,-0.185059,140.594482,18.585205,-123.291008
2020-02-12 13:31:07.614,0.767578,-0.577637,-0.208740,143.829346,25.390623,-120.697014
2020-02-12 13:31:07.617,0.670166,-0.590576,-0.244629,147.583008,33.203125,-117.828362
2020-02-12 13:31:07.619,0.579102,-0.594238,-0.290283,152.862549,43.060299,-116.607658
2020-02-12 13:31:07.622,0.492432,-0.585693,-0.339600,157.836914,51.361080,-112.915031
2020-02-12 13:31:07.625,0.413818,-0.562012,-0.388916,160.644516,57.586666,-106.445305
2020-02-12 13:31:07.627,0.338379,-0.523926,-0.437988,160.797104,62.713619,-98.510735
2020-02-12 13:31:07.630,0.262451,-0.479980,-0.493164,159.576416,64.819336,-88.134758
2020-02-12 13:31:07.632,0.208008,-0.424805,-0.545898,155.548096,66.009521,-77.697754
2020-02-12 13:31:07.635,0.169922,-0.353760,-0.592529,152.282715,67.199707,-64.849854
2020-02-12 13:31:07.637,0.138428,-0.272949,-0.634521,147.918701,68.908691,-51.910397
2020-02-12 13:31:07.639,0.101807,-0.176025,-0.674316,143.249512,71.228027,-40.863033
2020-02-12 13:31:07.642,0.063232,-0.069580,-0.707031,139.678955,72.784424,-31.127928
2020-02-12 13:31:07.645,0.027344,0.040771,-0.737549,136.688232,74.890137,-24.871824
2020-02-12 13:31:07.647,0.000000,0.147461,-0.771729,135.925293,77.026367,-23.986814
2020-02-12 13:31:07.649,-0.019775,0.244629,-0.812744,139.434814,82.427971,-26.458738
2020-02-12 13:31:07.652,-0.036621,0.321777,-0.872314,147.521973,92.102043,-33.264160
2020-02-12 13:31:07.654,-0.053711,0.378906,-0.955322,159.851074,105.834953,-44.219967
2020-02-12 13:31:07.657,-0.074219,0.422363,-1.048340,172.302231,117.645256,-56.182858
2020-02-12 13:31:07.659,-0.096680,0.459717,-1.148193,180.328354,123.596184,-64.941406
2020-02-12 13:31:07.662,-0.112305,0.492676,-1.249268,184.173569,123.168938,-71.929932
2020-02-12 13:31:07.664,-0.114502,0.519531,-1.337891,183.715805,117.095940,-76.995850
2020-02-12 13:31:07.667,-0.113525,0.531738,-1.418701,180.389389,106.842033,-81.268303
2020-02-12 13:31:07.670,-0.121826,0.535400,-1.498291,174.530014,96.435539,-82.855217
2020-02-12 13:31:07.672,-0.142334,0.530762,-1.570068,167.724594,87.463371,-82.916252
2020-02-12 13:31:07.675,-0.176758,0.518799,-1.641357,162.780746,81.603996,-82.672112
2020-02-12 13:31:07.677,-0.223633,0.505127,-1.707275,161.621078,78.308105,-83.953850
